Date,Open,High,Low,Close,Volume,Brand_Name,Ticker,Industry_Tag,Country,Dividends,Stock Splits,Capital Gains,MA_50,MA_200,RSI,Signal,Crossover,Strong_Buy
2000-01-03 00:00:00-05:00,4.074999809265137,4.478125095367432,3.9523439407348633,4.46875,322352000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,,0
2000-01-04 00:00:00-05:00,4.268750190734863,4.574999809265137,4.087500095367432,4.096875190734863,349748000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,0.0,0
2000-01-05 00:00:00-05:00,3.525000095367432,3.756249904632568,3.400000095367432,3.487499952316284,769148000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,0.0,0
2000-01-06 00:00:00-05:00,3.565624952316284,3.634375095367432,3.200000047683716,3.278125047683716,375040000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,0.0,0
2000-01-07 00:00:00-05:00,3.3499999046325684,3.525000095367432,3.309375047683716,3.478125095367432,210108000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,0.0,0
2000-01-10 00:00:00-05:00,3.628124952316284,3.631249904632568,3.278125047683716,3.4593749046325684,295158000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,0.0,0
2000-01-11 00:00:00-05:00,3.34375,3.5,3.25,3.337500095367432,210654000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,0.0,0
2000-01-12 00:00:00-05:00,3.393749952316284,3.400000095367432,3.150000095367432,3.1781249046325684,216090000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,0.0,0
2000-01-13 00:00:00-05:00,3.246875047683716,3.359375,3.15625,3.296875,208962000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,0.0,0
2000-01-14 00:00:00-05:00,3.337500095367432,3.431250095367432,3.200000047683716,3.212500095367432,137072000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,0.0,0
2000-01-18 00:00:00-05:00,3.171875,3.259375095367432,3.150000095367432,3.206249952316284,107698000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,0.0,0
2000-01-19 00:00:00-05:00,3.206249952316284,3.375,3.150000095367432,3.340625047683716,164910000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,0.0,0
2000-01-20 00:00:00-05:00,3.346874952316284,3.3499999046325684,3.196875095367432,3.237499952316284,119560000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,,0,0.0,0
2000-01-21 00:00:00-05:00,3.231250047683716,3.231250047683716,3.0,3.103125095367432,229238000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,19.944986512659966,0,0.0,0
2000-01-24 00:00:00-05:00,3.378124952316284,3.668750047683716,3.375,3.5062499046325684,583404000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,32.0093452946069,0,0.0,0
2000-01-25 00:00:00-05:00,3.5,3.5625,3.299999952316284,3.462500095367432,188682000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,36.48468615050652,0,0.0,0
2000-01-26 00:00:00-05:00,3.431250095367432,3.5,3.237499952316284,3.2406249046325684,131160000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,43.700158732766184,0,0.0,0
2000-01-27 00:00:00-05:00,3.259375095367432,3.387500047683716,3.231250047683716,3.346874952316284,135680000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,51.85184899760817,0,0.0,0
2000-01-28 00:00:00-05:00,3.25,3.321875095367432,3.0,3.0843749046325684,275558000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,39.73941024043523,0,0.0,0
2000-01-31 00:00:00-05:00,3.018749952316284,3.237499952316284,2.921875,3.228125095367432,213958000.0,amazon,AMZN,e-commerce,usa,0.0,0.0,,,,44.34251310354161,0,0.0,0
